data_no,event_date,year,event_type,sub_event_type,actor1,assoc_actor_1,country,admin1,admin2,location,latitude,longitude,source,notes,fatalities,timestamp
16406,18-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,Reuters; Count Love,"On 18 August 2020, an unreported number of people gathered at a news conference in New York-Manhattan (New York) to show support for the USPS. [size=no report]",0,1612546441
16417,18-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),Government of the United States (2017-2021),United States,New York,Queens,New York - Queens,40.7308,-73.7958,Long Island Herald Newspapers; Count Love,"On 18 August 2020, government officials from the NY State Assembly and the US Congress gathered outside the post office in New York-Queens (New York) to protest recent changes to USPS policy that they fear may affect mail-in ballots in 2020 general election. [size=no report]",0,1612546440
16863,13-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,AM New York,"On 13 August 2020, Street vendors and elected officials staged a protest at Times Square in New York-Manhattan (New York) to demand the City Council to pass Intro 1116 bill which allows an expansion of street vendor permits in the city. [size=no report]",0,1612546430
16953,12-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),Government of the United States (2017-2021),United States,New York,New York,New York - Manhattan,40.7834,-73.9663,AM New York,"On 12 August 2020, immigrant families, organized by Make the Road New York group and joined by several state lawmakers, staged 'the Empty Plate Lunch' protest outside New York Governor's office in New York-Manhattan (New York) to call for billionaire tax and rent relief for immigrants who were not qualified for stimulus money during the coronavirus pandemic. [size=no report]",0,1612916000
17180,10-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),Labour Group (United States),United States,New York,New York,New York - Manhattan,40.7834,-73.9663,Count Love; Fox Business,"On 10 August 2020, several dozen people, organized by the Congress of Essential Workers founded by a ex-Amazon worker, staged a protest outside the Amazon CEO's apartment in New York-Manhattan (New York) over the company's coronavirus standards, and to demand Amazon to allow unionization of employees and 'a federal wealth tax on the top 3% of earners in the United States.' [size=several dozens]",0,1612916000
17191,10-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter; Lawyers (United States),United States,New York,Bronx,New York - Bronx,40.8451,-73.8649,News12 (Bronx),"On 10 August 2020, members of Black Lives Matter of Greater New York together with a group of public defenders staged a protest in front of the Bronx Hall of Justice in New York-Bronx (New York) against the reopening of criminal courts in New York City for in-person grand jury cases amid coronavirus pandemic. [size=no report]",0,1612546429
17194,10-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),,United States,New York,Queens,New York - Queens,40.7308,-73.7958,Make the Road New York,"On 10 August 2020, hundreds of people marched in New York-Queens (New York) to demand the New York Governor to tax the billionaires and fund the workers who were excluded from stimulus money during the coronavirus pandemic. [size=hundreds]",0,1612546429
17264,9-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),Labour Group (United States),United States,New York,New York,New York City,40.7142,-74.0059,Crowd Counting Consortium; Business Insider,"On 9 August 2020, dozens of Amazon's workers staged a protest outside Amazon CEO's house in New York City (New York) to demand for better pay, healthcare for workers, and better communication and transparency regarding number of cases of coronavirus in the workplace. [size=dozens]",0,1612546502
17286,9-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,New York Daily News,"On 9 August 2020, people marched from Times Square to uptown in New York-Manhattan (New York) to demand the arrest of the officers who were responsible for the death of Breonna Taylor, and in support of Black Lives Matter movement and against police brutality in the wake of the death of George Floyd. [size=no report]",0,1612546429
17287,9-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),,United States,New York,Queens,New York - Queens,40.7308,-73.7958,Lic Post; Crowd Counting Consortium,"On 9 August 2020, more than 300 people marched through Corona in New York-Queens (New York) to demand the New York Governor to tax the billionaires and fund the reduced state budget due to the economic fallout caused by coronavirus pandemic. [size=more than 300]",0,1612546429
17422,8-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,Spectrum News NY1,"On 8 August 2020, people gathered in Bryan Park and marched to Times Square in New York-Manhattan (New York) in protest over the NYPD's attempt to take into custody a Black Lives Matter protest organizer from 'Warriors of the Garden'. [size=no report]",0,1612916000
17546,6-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),,United States,New York,Queens,New York - Queens,40.7308,-73.7958,Queens Chronicle,"On 6 August 2020, Fresh Meadows residents staged a protest in front of the 186th Street Wyndham Garden Hotel in New York-Queens (New York) against the New York City and Exodus Transitional Community program placing 100 former Rikers Island and state correctional facility prisoners in the hotel amid coronavirus pandemic. Members from Housing Works and Exodus, as well as Black Lives Matter protesters, staged a counter-protest in front of the hotel in support of the housing program. The Fresh Meadows residents concerned that the housing of sex offenders in the neighbourhood and the potential surge in crime which the program would bring, and they also criticise the city for not including them in the decision-making process of the program. [size=no report] [counter-protest]",0,1612546430
17850,3-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),Teachers (United States); Students (United States),United States,New York,New York,New York - Manhattan,40.7834,-73.9663,Chalkbeat; Gothamist; ABC7 (New York),"On 3 August 2020, hundreds of teachers, parents, and students marched in New York-Manhattan in protest over the school re-opening plan made by the city amid the coronavirus pandemic. [size=hundreds] [schools]",0,1612546428
17917,2-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,United States,New York,Bronx,New York - Bronx,40.8451,-73.8649,News12 (Bronx),"On 2 August 2020, about 30 people marched in a protest outside the 40th Precinct in Mott Haven in New York-Bronx (New York) in support of the Black Lives Matter movement movement and defunding the police in the wake of the death of George Floyd, as well as paying tribute to Rep. John Lewis. [size=about 30]",0,1612546428
18021,1-Aug-20,2020,Protests,Peaceful protest,Protesters (United States),,United States,New York,Bronx,New York - Bronx,40.8451,-73.8649,News12 (Bronx),"On 1 August 2020, a protest was staged at the Williamsbridge Oval Park in New York-Bronx (New York) over the death of a woman of Black and Puerto Rican descent in chidbirth. Her family suggests that she died from alleged medical neglect at Montefiore Medical Center. [size=no report]",0,1612546428
18272,31-Jul-20,2020,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter; Christian Group (United States),United States,New York,New York,New York - Manhattan,40.7834,-73.9663,PIX11,"On 31 July 2020, hundreds of people, together with the family members of police brutality victims and a Christian revenant from the National Action Network, marched in 'Gets Your Knee Off Our Necks' protest from Time Square to Trump Tower in New York-Manhattan (New York) in support of the Black Lives Matter movements and against police brutality in the wake of the death of George Floyd. [size=hundreds]",0,1612916001
18423,29-Jul-20,2020,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,CBS2 (New York); West Side Rag; New York Post,"On 29 July 2020, a protest was held in support of the Black Lives Matter movement in Upper West Side in New York-Manhattan (New York). [size=no report]",0,1612546428
18440,29-Jul-20,2020,Riots,Mob violence,Rioters (United States),,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,West Side Rag,"On 29 July 2020, a police cruiser was burned and damaged by unidentified people on West 83rd Street in New York-Manhattan (New York).",0,1612546427
18486,29-Jul-20,2020,Protests,Peaceful protest,Protesters (United States),BLM: Black Lives Matter,United States,New York,New York,New York - Manhattan,40.7834,-73.9663,West Side Rag; New York Post; CBS2 (New York),"On 29 July 2020, a group of people gathered in front of New York City police commissioner's house in New York-Manhattan (New York) in protest over the NYPD clearing the encampment of 'Occupy City Hall' demonstration. [size=no report]",0,1612916001
